Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2022-07-01,RELIANCE,Large Cap,1142.23,691.14
2022-07-01,WIPRO,Large Cap,197.95,161.82
2022-07-01,HDFCBANK,Large Cap,661.54,506.84
2022-07-01,LT,Large Cap,1619.81,1213.32
2022-07-01,POWERGRID,Large Cap,137.34,87.33
2022-07-01,TITAN,Large Cap,2088.74,1231.35
2022-07-01,SUNPHARMA,Large Cap,858.44,594.67
2022-07-01,NESTLEIND,Large Cap,878.93,611.59
2022-07-01,ITC,Large Cap,261.78,187.51
2022-07-01,NTPC,Large Cap,131.15,96.93
2022-07-01,INFY,Large Cap,1382.61,874.56
2022-07-01,SBIN,Large Cap,470.46,300.49
2022-07-01,ULTRACEMCO,Large Cap,5917.03,4633.74
2022-07-01,JSWSTEEL,Mid Cap,565.19,344.31
2022-07-01,KOTAKBANK,Large Cap,1730.69,1354.81
2022-07-01,TATAMOTORS,Mid Cap,424.52,307.57
2022-07-01,BHARTIARTL,Large Cap,656.82,456.61
2022-07-01,AXISBANK,Large Cap,679.25,593.46
2022-07-01,ADANIPORTS,Mid Cap,700.23,452.32
2022-06-01,SBIN,Large Cap,435.09,296.46
2022-06-01,POWERGRID,Large Cap,142.48,86.14
2022-06-01,BHARTIARTL,Large Cap,666.29,451.86
2022-06-01,WIPRO,Large Cap,213.58,160.96
2022-06-01,JSWSTEEL,Mid Cap,536.04,339.07
2022-06-01,TCS,Large Cap,3131.44,2122.29
2022-06-01,MARUTI,Large Cap,7869.61,6097.49
2022-06-01,LT,Large Cap,1525.0,1203.66
2022-06-01,NESTLEIND,Large Cap,828.96,605.25
2022-06-01,HDFCBANK,Large Cap,644.07,503.16
2022-06-01,ULTRACEMCO,Large Cap,5612.05,4603.27
2022-06-01,ADANIPORTS,Mid Cap,689.99,446.43
2022-06-01,SUNPHARMA,Large Cap,815.73,588.41
2022-06-01,NTPC,Large Cap,133.16,96.12
2022-06-01,TATAMOTORS,Mid Cap,413.74,304.8
2022-06-01,TITAN,Large Cap,2074.43,1210.99
2022-06-01,INFY,Large Cap,1365.71,862.5
2022-06-01,HINDUNILVR,Large Cap,2148.82,1623.37
